Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Solo Leisure,Economy Class,Tokyo to Freetown via Paris,July 2017,3.0,3.0,3.0,4.0,4.0,4.0,Yes,air-france,Tokyo,Freetown
Business,Economy Class,Sofia to Paris,June 2017,4.0,5.0,5.0,1.0,5.0,5.0,Yes,air-france,Sofia,Paris
Business,Economy Class,Prague to Paris CDG,May 2017,5.0,5.0,1.0,1.0,5.0,5.0,Yes,air-france,Prague,Paris CDG
Family Leisure,Economy Class,Paris CDG to Cancun,June 2017,3.0,1.0,1.0,2.0,2.0,2.0,No,air-france,Paris CDG,Cancun
Couple Leisure,Economy Class,Vancouver to Munich via Paris,June 2017,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,Vancouver,Munich
Solo Leisure,Economy Class,Hong Kong to Kiev via Paris CDG,May 2017,4.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,Hong Kong,Kiev
Business,Economy Class,Cameroon to London Heathrow via Paris,June 2017,1.0,1.0,1.0,3.0,1.0,1.0,No,air-france,Cameroon,London Heathrow
Couple Leisure,Business Class,Paris CDG to Barcelona,June 2017,3.0,4.0,5.0,1.0,4.0,4.0,Yes,air-france,Paris CDG,Barcelona
Couple Leisure,Business Class,New York JFK to Paris CDG,June 2017,5.0,5.0,5.0,5.0,4.0,4.0,Yes,air-france,New York JFK,Paris CDG
Couple Leisure,Premium Economy,Paris to Havana,June 2017,4.0,5.0,4.0,3.0,3.0,4.0,Yes,air-france,Paris,Havana
Couple Leisure,Business Class,Sao Paulo to Paris,June 2017,4.0,4.0,4.0,3.0,4.0,4.0,Yes,air-france,Sao Paulo,Paris
Solo Leisure,Economy Class,Dusseldorf to Miami via Paris,May 2017,5.0,5.0,5.0,4.0,5.0,5.0,Yes,air-france,Dusseldorf,Miami
Couple Leisure,Economy Class,Lima to Paris,May 2017,1.0,1.0,3.0,1.0,4.0,3.0,No,air-france,Lima,Paris
Couple Leisure,First Class,Singapore to Toulouse via Paris,June 2017,5.0,5.0,5.0,4.0,5.0,5.0,Yes,air-france,Singapore,Toulouse
Couple Leisure,Economy Class,Newcastle to San Francisco via Paris,April 2017,4.0,4.0,5.0,3.0,4.0,4.0,Yes,air-france,Newcastle,San Francisco
Couple Leisure,Economy Class,Copenhagen to Paris,May 2017,3.0,4.0,5.0,1.0,4.0,5.0,Yes,air-france,Copenhagen,Paris
Solo Leisure,Economy Class,Paris CDG to Atlanta,May 2017,3.0,4.0,4.0,4.0,4.0,4.0,Yes,air-france,Paris CDG,Atlanta
Solo Leisure,Economy Class,Los Angeles to Amman via Paris,May 2017,1.0,1.0,1.0,2.0,1.0,1.0,No,air-france,Los Angeles,Amman
Couple Leisure,Business Class,Osaka to Paris,May 2017,5.0,5.0,5.0,5.0,4.0,2.0,Yes,air-france,Osaka,Paris
Couple Leisure,Premium Economy,Paris to Tokyo,April 2017,1.0,1.0,1.0,4.0,4.0,1.0,No,air-france,Paris,Tokyo
Family Leisure,Economy Class,Paris to Punta Cana,April 2017,1.0,3.0,2.0,1.0,3.0,2.0,No,air-france,Paris,Punta Cana
Couple Leisure,Economy Class,Singapore to Paris,April 2017,1.0,4.0,1.0,2.0,2.0,2.0,No,air-france,Singapore,Paris
Business,Economy Class,Stockholm to Paris,April 2017,4.0,5.0,5.0,1.0,4.0,3.0,Yes,air-france,Stockholm,Paris
Couple Leisure,Economy Class,Florence to St Petersburgh via Paris,March 2017,1.0,2.0,1.0,1.0,1.0,1.0,No,air-france,Florence,St Petersburgh
Couple Leisure,Economy Class,Paris to Tel Aviv,March 2017,2.0,3.0,2.0,1.0,4.0,3.0,No,air-france,Paris,Tel Aviv
Solo Leisure,Economy Class,Paris CDG to Dusseldorf,March 2017,5.0,5.0,3.0,1.0,3.0,5.0,No,air-france,Paris CDG,Dusseldorf
Family Leisure,Economy Class,Warsaw to Paris,December 2016,2.0,1.0,1.0,1.0,1.0,1.0,No,air-france,Warsaw,Paris
Solo Leisure,Business Class,Paris CDG to New York,April 2016,5.0,5.0,5.0,5.0,4.0,5.0,Yes,air-france,Paris CDG,New York
Solo Leisure,Business Class,New York to Paris,May 2016,5.0,5.0,5.0,5.0,3.0,5.0,Yes,air-france,New York,Paris
Solo Leisure,Economy Class,Birmingham to Singapore via Paris,January 2017,4.0,5.0,4.0,5.0,3.0,5.0,Yes,air-france,Birmingham,Singapore
Family Leisure,Economy Class,Stuttgart to Toronto via Paris,October 2016,2.0,3.0,3.0,3.0,2.0,1.0,No,air-france,Stuttgart,Toronto
Solo Leisure,Economy Class,London Heathrow to Paris CDG,February 2017,5.0,5.0,5.0,1.0,5.0,5.0,Yes,air-france,London Heathrow,Paris CDG
Solo Leisure,Economy Class,GIG to DUB via CDG,December 2016,4.0,4.0,3.0,4.0,5.0,3.0,Yes,air-france,GIG,DUB
Business,Business Class,Paris CDG to Madrid,February 2017,4.0,5.0,4.0,1.0,5.0,4.0,Yes,air-france,Paris CDG,Madrid
Solo Leisure,Business Class,Seoul to Birmingham via Paris,January 2017,5.0,4.0,4.0,3.0,2.0,4.0,Yes,air-france,Seoul,Birmingham
Couple Leisure,Economy Class,Marseille to Paris,January 2017,3.0,1.0,1.0,1.0,1.0,1.0,No,air-france,Marseille,Paris
Solo Leisure,Economy Class,Paris to Bogota,January 2017,2.0,4.0,5.0,4.0,4.0,3.0,Yes,air-france,Paris,Bogota
Solo Leisure,Premium Economy,LHR to CPT via CDG,January 2017,3.0,4.0,3.0,1.0,5.0,4.0,Yes,air-france,LHR,CPT
Couple Leisure,Premium Economy,PTY to FCO via CDG,October 2016,3.0,4.0,4.0,4.0,4.0,4.0,Yes,air-france,PTY,FCO
Business,First Class,HKG to CDG,December 2016,2.0,2.0,2.0,1.0,5.0,1.0,No,air-france,HKG,CDG
Couple Leisure,Economy Class,Madrid to Washington via Paris,January 2017,1.0,3.0,3.0,3.0,1.0,1.0,No,air-france,Madrid,Washington
Couple Leisure,Economy Class,BKK to CDG,January 2017,1.0,1.0,2.0,2.0,2.0,2.0,No,air-france,BKK,CDG
Business,Business Class,LAX to CDG,January 2017,4.0,1.0,2.0,5.0,1.0,1.0,No,air-france,LAX,CDG
Solo Leisure,Economy Class,GRU to CDG,January 2017,2.0,1.0,1.0,2.0,2.0,1.0,No,air-france,GRU,CDG
Family Leisure,Economy Class,CDG to DXB,January 2017,5.0,5.0,5.0,5.0,3.0,5.0,Yes,air-france,CDG,DXB
Couple Leisure,Economy Class,IKA to YYZ,January 2017,2.0,3.0,3.0,3.0,1.0,1.0,No,air-france,IKA,YYZ
Couple Leisure,Premium Economy,CDG to CUN,November 2016,4.0,4.0,3.0,4.0,4.0,3.0,No,air-france,CDG,CUN
Couple Leisure,Economy Class,LHR to WAW via CDG,December 2016,3.0,4.0,5.0,1.0,3.0,4.0,Yes,air-france,LHR,WAW
Couple Leisure,Economy Class,ATH to HAV via CDG,December 2016,1.0,1.0,3.0,3.0,3.0,2.0,No,air-france,ATH,HAV
Couple Leisure,Economy Class,DEL to FCO via CDG,November 2016,3.0,2.0,2.0,2.0,3.0,4.0,No,air-france,DEL,FCO
Couple Leisure,Economy Class,PUJ to PRG via CDG,December 2016,4.0,3.0,3.0,1.0,2.0,3.0,Yes,air-france,PUJ,PRG
Solo Leisure,First Class,CDG to HND,December 2016,5.0,5.0,5.0,1.0,5.0,5.0,Yes,air-france,CDG,HND
Business,Business Class,AMS to DXB via CDG,December 2016,4.0,3.0,4.0,4.0,3.0,4.0,Yes,air-france,AMS,DXB
Business,Business Class,AMS to DXB via CDG,December 2016,5.0,5.0,5.0,3.0,5.0,4.0,Yes,air-france,AMS,DXB
Couple Leisure,Economy Class,ORY to PTP,November 2016,1.0,1.0,3.0,2.0,1.0,1.0,No,air-france,ORY,PTP
Couple Leisure,Economy Class,FCO to CDG,February 2016,4.0,5.0,4.0,1.0,5.0,3.0,Yes,air-france,FCO,CDG
Business,Premium Economy,CDG to DTW,November 2016,3.0,1.0,2.0,3.0,1.0,1.0,No,air-france,CDG,DTW
Solo Leisure,Business Class,CDG to BRE,November 2016,1.0,1.0,1.0,1.0,1.0,1.0,No,air-france,CDG,BRE
Solo Leisure,Business Class,CDG to LAX,November 2016,3.0,2.0,1.0,1.0,4.0,3.0,No,air-france,CDG,LAX
Solo Leisure,Economy Class,JFK to CDG,November 2016,4.0,5.0,5.0,5.0,4.0,4.0,Yes,air-france,JFK,CDG
Family Leisure,Economy Class,IST to CDG,November 2016,3.0,3.0,4.0,3.0,3.0,4.0,Yes,air-france,IST,CDG
Couple Leisure,Economy Class,CDG to IAH,November 2016,4.0,5.0,4.0,4.0,5.0,5.0,Yes,air-france,CDG,IAH
Couple Leisure,Economy Class,CUN to CDG,November 2016,3.0,4.0,2.0,4.0,4.0,3.0,Yes,air-france,CUN,CDG
Business,Premium Economy,YYZ to CDG,November 2016,3.0,1.0,1.0,1.0,2.0,4.0,Yes,air-france,YYZ,CDG
Couple Leisure,Economy Class,SXM to VCE via CDG,November 2016,3.0,2.0,1.0,2.0,3.0,3.0,No,air-france,SXM,VCE
Family Leisure,Economy Class,AMS to MRS,August 2016,3.0,3.0,4.0,1.0,1.0,1.0,No,air-france,AMS,MRS
Couple Leisure,Economy Class,AMS to LIM via CDG,August 2016,3.0,1.0,2.0,4.0,5.0,4.0,No,air-france,AMS,LIM
Business,Business Class,BHM to DXB via ATL & CDG,October 2016,4.0,4.0,4.0,4.0,2.0,4.0,Yes,air-france,BHM,DXB
Business,Economy Class,SXB to ATH via CDG,October 2016,4.0,5.0,5.0,1.0,1.0,4.0,Yes,air-france,SXB,ATH
Couple Leisure,Economy Class,CDG to YVR,October 2016,4.0,5.0,5.0,4.0,5.0,5.0,Yes,air-france,CDG,YVR
Solo Leisure,Economy Class,CDG to BOG,August 2016,3.0,5.0,5.0,4.0,5.0,5.0,Yes,air-france,CDG,BOG
Business,Economy Class,JFK to BOD via ORY,October 2016,3.0,2.0,3.0,3.0,4.0,3.0,Yes,air-france,JFK,BOD
Couple Leisure,Premium Economy,FLR to LAX via CDG,October 2016,1.0,2.0,4.0,4.0,4.0,3.0,No,air-france,FLR,LAX
Solo Leisure,Business Class,GRU to CDG,August 2016,3.0,4.0,4.0,3.0,3.0,3.0,Yes,air-france,GRU,CDG
Family Leisure,Economy Class,BOS to CDG,October 2016,2.0,4.0,3.0,4.0,4.0,4.0,Yes,air-france,BOS,CDG
Business,Premium Economy,PUJ to MAN via CDG,September 2016,3.0,5.0,4.0,4.0,5.0,5.0,Yes,air-france,PUJ,MAN
Solo Leisure,Economy Class,BKK to MAN via CDG,September 2016,3.0,2.0,2.0,1.0,4.0,4.0,No,air-france,BKK,MAN
Solo Leisure,Economy Class,CDG to SFO,August 2016,4.0,4.0,5.0,5.0,4.0,5.0,Yes,air-france,CDG,SFO
Couple Leisure,Premium Economy,JFK to ORY,September 2016,2.0,1.0,1.0,2.0,4.0,2.0,Yes,air-france,JFK,ORY
Family Leisure,Economy Class,CDG to JNB,September 2016,2.0,1.0,3.0,4.0,2.0,1.0,No,air-france,CDG,JNB
Family Leisure,Business Class,CDG to MEX,September 2016,2.0,4.0,3.0,1.0,3.0,5.0,No,air-france,CDG,MEX
Couple Leisure,Economy Class,FCO to GIG via CDG,September 2016,1.0,3.0,2.0,3.0,1.0,1.0,No,air-france,FCO,GIG
Business,Business Class,LAX to FRA via CDG,July 2016,3.0,2.0,3.0,4.0,1.0,2.0,No,air-france,LAX,FRA
Solo Leisure,Economy Class,CDG to BGU,September 2016,1.0,5.0,4.0,1.0,3.0,4.0,Yes,air-france,CDG,BGU
Solo Leisure,Economy Class,JFK to CDG,September 2016,4.0,4.0,4.0,4.0,3.0,4.0,Yes,air-france,JFK,CDG
Solo Leisure,Economy Class,JFK to DXB via CDG,August 2016,3.0,3.0,2.0,3.0,4.0,3.0,No,air-france,JFK,DXB
Solo Leisure,Economy Class,CDG to TNR,August 2016,2.0,2.0,2.0,5.0,3.0,2.0,Yes,air-france,CDG,TNR
Business,Economy Class,AMS to CAI via CDG,February 2016,3.0,3.0,3.0,3.0,1.0,2.0,No,air-france,AMS,CAI
Couple Leisure,Business Class,BOM to CDG,August 2016,3.0,3.0,2.0,3.0,5.0,3.0,No,air-france,BOM,CDG
Business,Economy Class,BCN to HKG via CDG,August 2016,4.0,5.0,3.0,5.0,4.0,4.0,Yes,air-france,BCN,HKG
Couple Leisure,Economy Class,IAD to DUB via CDG,August 2016,1.0,1.0,1.0,1.0,3.0,4.0,No,air-france,IAD,DUB
Couple Leisure,Business Class,MAN to MRU via CDG,July 2016,4.0,5.0,5.0,3.0,4.0,4.0,Yes,air-france,MAN,MRU
Family Leisure,Economy Class,TLS to JFK via CDG,August 2016,4.0,3.0,3.0,4.0,4.0,4.0,Yes,air-france,TLS,JFK
Couple Leisure,Economy Class,DUB to ZRH via CDG,August 2016,3.0,2.0,3.0,1.0,1.0,2.0,No,air-france,DUB,ZRH
Family Leisure,First Class,LAX to CDG,July 2016,4.0,1.0,2.0,2.0,1.0,1.0,No,air-france,LAX,CDG
Solo Leisure,Economy Class,CDG to TLS,July 2016,3.0,3.0,1.0,1.0,1.0,2.0,No,air-france,CDG,TLS
Couple Leisure,Economy Class,JFK to TXL via CDG,July 2016,4.0,2.0,4.0,5.0,1.0,3.0,No,air-france,JFK,TXL
Business,Business Class,MSP to CDG,July 2016,4.0,5.0,5.0,1.0,4.0,5.0,Yes,air-france,MSP,CDG
Solo Leisure,Business Class,ICN to CDG,June 2016,5.0,5.0,5.0,5.0,4.0,5.0,Yes,air-france,ICN,CDG
Solo Leisure,Economy Class,LHR to BKK via CDG,July 2016,4.0,5.0,2.0,3.0,5.0,5.0,Yes,air-france,LHR,BKK
Couple Leisure,Premium Economy,LAX to CDG,May 2016,1.0,2.0,3.0,1.0,3.0,1.0,No,air-france,LAX,CDG
Solo Leisure,Business Class,YYZ to CDG,June 2016,3.0,1.0,1.0,2.0,1.0,4.0,No,air-france,YYZ,CDG
Business,Premium Economy,BCN to CAN via CDG,December 2015,4.0,5.0,5.0,5.0,3.0,4.0,Yes,air-france,BCN,CAN
Solo Leisure,Economy Class,CDG to JFK,June 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,CDG,JFK
Solo Leisure,Economy Class,WAW to CDG,March 2016,3.0,5.0,4.0,3.0,4.0,4.0,Yes,air-france,WAW,CDG
Business,Economy Class,STR to ORD,June 2016,2.0,4.0,3.0,2.0,4.0,5.0,Yes,air-france,STR,ORD
Couple Leisure,Business Class,MRS to YYZ via CDG,June 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,MRS,YYZ
Business,Premium Economy,VIE to SFO via CDG,February 2016,4.0,4.0,5.0,4.0,2.0,4.0,Yes,air-france,VIE,SFO
Family Leisure,Business Class,CDG to LAX,June 2016,3.0,1.0,1.0,2.0,3.0,2.0,No,air-france,CDG,LAX
Couple Leisure,Business Class,CDG to KIX,April 2016,5.0,4.0,2.0,3.0,5.0,5.0,Yes,air-france,CDG,KIX
Solo Leisure,Business Class,CDG to LIN,April 2016,5.0,5.0,4.0,1.0,4.0,4.0,Yes,air-france,CDG,LIN
Solo Leisure,Business Class,EZE to CDG,April 2016,4.0,3.0,4.0,5.0,4.0,3.0,No,air-france,EZE,CDG
Couple Leisure,Business Class,HKG to CDG,May 2016,2.0,3.0,4.0,3.0,5.0,3.0,Yes,air-france,HKG,CDG
Couple Leisure,Economy Class,SXM to BUD via CDG,June 2016,3.0,4.0,1.0,4.0,4.0,3.0,No,air-france,SXM,BUD
Couple Leisure,First Class,CDG to IAD,June 2016,5.0,5.0,5.0,4.0,5.0,4.0,Yes,air-france,CDG,IAD
Family Leisure,Economy Class,LED to GOA via CDG,August 2015,5.0,5.0,5.0,4.0,4.0,5.0,Yes,air-france,LED,GOA
Couple Leisure,First Class,IAD to CDG,June 2016,5.0,5.0,1.0,2.0,5.0,2.0,Yes,air-france,IAD,CDG
Business,Business Class,CDG to PVG,May 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,CDG,PVG
Solo Leisure,Premium Economy,MAD to YYZ via CDG,May 2016,2.0,1.0,1.0,1.0,1.0,1.0,No,air-france,MAD,YYZ
Business,Economy Class,JFK to CDG,May 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,JFK,CDG
Couple Leisure,Premium Economy,CDG to BKK,April 2016,4.0,2.0,2.0,4.0,4.0,4.0,No,air-france,CDG,BKK
Couple Leisure,Economy Class,CDG to FLR,April 2016,4.0,5.0,4.0,1.0,5.0,4.0,Yes,air-france,CDG,FLR
Couple Leisure,Premium Economy,CDG to HAV,May 2016,4.0,5.0,5.0,3.0,4.0,3.0,Yes,air-france,CDG,HAV
Solo Leisure,Economy Class,DEL to BHX via CDG,April 2016,2.0,3.0,1.0,2.0,4.0,2.0,No,air-france,DEL,BHX
Business,Economy Class,IST to SFO via CDG,May 2016,1.0,1.0,1.0,2.0,1.0,1.0,No,air-france,IST,SFO
Solo Leisure,Economy Class,SOF to CDG,September 2015,3.0,3.0,4.0,1.0,4.0,4.0,Yes,air-france,SOF,CDG
Business,Economy Class,CDG to SFO,April 2016,2.0,1.0,1.0,2.0,1.0,1.0,No,air-france,CDG,SFO
Business,Economy Class,CDG to GVA,April 2016,2.0,1.0,1.0,1.0,1.0,2.0,No,air-france,CDG,GVA
Family Leisure,Economy Class,JNB to CDG,April 2016,3.0,1.0,1.0,3.0,3.0,3.0,No,air-france,JNB,CDG
Family Leisure,Economy Class,HKG to CDG,April 2016,4.0,3.0,4.0,2.0,1.0,3.0,No,air-france,HKG,CDG
Couple Leisure,Economy Class,TXL to CDG,January 2016,4.0,5.0,4.0,1.0,3.0,4.0,Yes,air-france,TXL,CDG
Solo Leisure,Business Class,WAW to CDG,February 2016,1.0,3.0,1.0,1.0,5.0,5.0,Yes,air-france,WAW,CDG
Solo Leisure,Economy Class,LHR to PVG via CDG,March 2016,1.0,1.0,2.0,3.0,1.0,1.0,No,air-france,LHR,PVG
Solo Leisure,Economy Class,IST to LHR via CDG,February 2016,5.0,5.0,5.0,1.0,4.0,5.0,Yes,air-france,IST,LHR
Solo Leisure,Economy Class,JFK to CDG,April 2016,2.0,4.0,3.0,3.0,4.0,4.0,Yes,air-france,JFK,CDG
Solo Leisure,Business Class,BKK to LHR via CDG,April 2016,2.0,1.0,1.0,1.0,4.0,2.0,No,air-france,BKK,LHR
Family Leisure,Economy Class,ATH to CDG,April 2016,3.0,4.0,4.0,1.0,4.0,3.0,Yes,air-france,ATH,CDG
Family Leisure,Business Class,DXB to DTW via CDG,March 2016,3.0,5.0,4.0,5.0,1.0,2.0,Yes,air-france,DXB,DTW
Business,Business Class,BOM to AMS via CDG,March 2016,3.0,1.0,1.0,1.0,4.0,2.0,No,air-france,BOM,AMS
Solo Leisure,Premium Economy,MAN to JNB via CDG,January 2016,4.0,4.0,5.0,5.0,4.0,3.0,Yes,air-france,MAN,JNB
Business,Economy Class,BOD to CDG,March 2016,3.0,3.0,3.0,4.0,4.0,1.0,Yes,air-france,BOD,CDG
Couple Leisure,Business Class,HAV to LHR via CDG,March 2016,5.0,5.0,4.0,5.0,5.0,5.0,Yes,air-france,HAV,LHR
Couple Leisure,Premium Economy,BOG to CDG,February 2016,4.0,4.0,4.0,4.0,4.0,5.0,Yes,air-france,BOG,CDG
Couple Leisure,Economy Class,CDG to BOG,February 2016,4.0,4.0,4.0,2.0,4.0,5.0,Yes,air-france,CDG,BOG
Family Leisure,Premium Economy,CDG to FDF,March 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,CDG,FDF
Couple Leisure,Economy Class,PTP to GVA via CDG,March 2016,3.0,5.0,3.0,3.0,4.0,5.0,Yes,air-france,PTP,GVA
Solo Leisure,Economy Class,GRU to CDG,March 2016,5.0,5.0,5.0,1.0,5.0,5.0,Yes,air-france,GRU,CDG
Business,Economy Class,TLS to MRS,February 2016,3.0,1.0,1.0,1.0,4.0,1.0,No,air-france,TLS,MRS
Solo Leisure,Business Class,JFK to CDG,February 2016,5.0,5.0,2.0,5.0,3.0,4.0,Yes,air-france,JFK,CDG
Solo Leisure,Business Class,CDG to JFK,February 2016,2.0,5.0,5.0,5.0,4.0,3.0,Yes,air-france,CDG,JFK
Couple Leisure,Economy Class,BOG to CDG,February 2016,2.0,1.0,1.0,1.0,2.0,1.0,No,air-france,BOG,CDG
Couple Leisure,Economy Class,GIG to CDG,February 2016,2.0,1.0,1.0,1.0,3.0,1.0,No,air-france,GIG,CDG
Solo Leisure,Economy Class,TUN to CDG,February 2016,2.0,1.0,2.0,1.0,1.0,2.0,No,air-france,TUN,CDG
Solo Leisure,Economy Class,JFK to NAP via CDG,February 2016,5.0,5.0,3.0,5.0,4.0,5.0,Yes,air-france,JFK,NAP
Solo Leisure,Business Class,YYZ to TNR via CDG,February 2016,5.0,5.0,5.0,4.0,5.0,5.0,Yes,air-france,YYZ,TNR
Solo Leisure,Economy Class,LHR to HKG via CDG,February 2016,4.0,5.0,5.0,5.0,4.0,5.0,Yes,air-france,LHR,HKG
Couple Leisure,Economy Class,YYZ to BLR via CDG,February 2016,4.0,5.0,5.0,5.0,4.0,5.0,Yes,air-france,YYZ,BLR
Business,Economy Class,CDG to SCL,September 2015,1.0,3.0,2.0,1.0,3.0,2.0,No,air-france,CDG,SCL
Business,Business Class,JNB to VLC via CDG,February 2016,1.0,4.0,3.0,1.0,1.0,1.0,No,air-france,JNB,VLC
Solo Leisure,Economy Class,IST to CDG,January 2016,4.0,4.0,5.0,1.0,5.0,5.0,Yes,air-france,IST,CDG
Business,Economy Class,SIN to CGK,January 2016,3.0,4.0,3.0,4.0,4.0,5.0,Yes,air-france,SIN,CGK
Solo Leisure,Economy Class,CDG to HND,December 2015,4.0,5.0,4.0,4.0,4.0,5.0,Yes,air-france,CDG,HND
Couple Leisure,Economy Class,BKK to LHR via CDG,January 2016,3.0,2.0,3.0,3.0,3.0,3.0,No,air-france,BKK,LHR
Solo Leisure,Economy Class,JFK to TXL via CDG,January 2016,3.0,5.0,5.0,4.0,5.0,4.0,Yes,air-france,JFK,TXL
Solo Leisure,Economy Class,DEL to DTW via CDG,December 2015,1.0,1.0,2.0,2.0,1.0,1.0,No,air-france,DEL,DTW
Couple Leisure,Economy Class,CDG to NCL,January 2016,4.0,4.0,4.0,1.0,4.0,4.0,Yes,air-france,CDG,NCL
Family Leisure,Economy Class,MAN to CDG,December 2015,1.0,4.0,4.0,2.0,3.0,1.0,No,air-france,MAN,CDG
Family Leisure,Economy Class,ATL to AGP via IAD/CDG,January 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,ATL,AGP
Solo Leisure,Economy Class,MSP to BOM via CDG,January 2016,2.0,1.0,2.0,1.0,2.0,2.0,No,air-france,MSP,BOM
Couple Leisure,Premium Economy,YVR to JNB via CDG,November 2015,4.0,3.0,3.0,3.0,2.0,5.0,Yes,air-france,YVR,JNB
Solo Leisure,Business Class,SIN to CGK,December 2015,5.0,4.0,4.0,5.0,4.0,4.0,Yes,air-france,SIN,CGK
Solo Leisure,Economy Class,SCL to EDI via CDG,September 2015,4.0,5.0,5.0,4.0,4.0,3.0,Yes,air-france,SCL,EDI
Solo Leisure,Economy Class,MRS to ORY,December 2015,4.0,5.0,5.0,1.0,5.0,5.0,Yes,air-france,MRS,ORY
Business,Premium Economy,TXL to CPT via CDG,December 2015,2.0,3.0,3.0,2.0,4.0,2.0,No,air-france,TXL,CPT
Couple Leisure,First Class,HND to CDG,December 2015,5.0,5.0,5.0,5.0,4.0,5.0,Yes,air-france,HND,CDG
Business,Economy Class,CDG to ATL,November 2015,3.0,4.0,4.0,3.0,3.0,4.0,No,air-france,CDG,ATL
Family Leisure,Economy Class,YYZ to RBGA via CDG,July 2015,4.0,5.0,4.0,3.0,3.0,3.0,Yes,air-france,YYZ,RBGA
Solo Leisure,Premium Economy,CDG to BOG,November 2015,3.0,5.0,4.0,5.0,5.0,2.0,Yes,air-france,CDG,BOG
Business,Economy Class,Bordeaux to Orly,December 2015,4.0,5.0,1.0,1.0,3.0,3.0,Yes,air-france,Bordeaux,Orly
Couple Leisure,Economy Class,CDG to YYZ,November 2015,4.0,5.0,5.0,4.0,4.0,5.0,Yes,air-france,CDG,YYZ
Couple Leisure,Business Class,Paris to San Francisco,August 2015,3.0,5.0,5.0,5.0,4.0,4.0,Yes,air-france,Paris,San Francisco
Couple Leisure,Economy Class,CPT to LHR via CDG,December 2015,2.0,3.0,1.0,1.0,1.0,2.0,No,air-france,CPT,LHR
Solo Leisure,Economy Class,Cape Town to Paris,December 2015,1.0,1.0,4.0,3.0,1.0,2.0,No,air-france,Cape Town,Paris
Couple Leisure,Economy Class,JFK to CDG,December 2015,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,JFK,CDG
Solo Leisure,Economy Class,Vienna to Paris,October 2015,2.0,5.0,4.0,1.0,1.0,3.0,Yes,air-france,Vienna,Paris
Family Leisure,Premium Economy,MXP to YUL via CDG,July 2015,5.0,5.0,3.0,4.0,5.0,3.0,Yes,air-france,MXP,YUL
Solo Leisure,Economy Class,SIN to FRA via CDG,September 2015,3.0,3.0,2.0,4.0,4.0,4.0,Yes,air-france,SIN,FRA
Solo Leisure,Business Class,Singapore to Jakarta,November 2015,5.0,5.0,4.0,4.0,4.0,4.0,Yes,air-france,Singapore,Jakarta
Solo Leisure,Economy Class,NRT to MAN via CDG,November 2015,2.0,4.0,1.0,4.0,3.0,3.0,No,air-france,NRT,MAN
Couple Leisure,Economy Class,Paris CDG to Toronto,July 2015,3.0,3.0,3.0,3.0,1.0,1.0,No,air-france,Paris CDG,Toronto
Couple Leisure,Economy Class,YYZ to MLA via CDG,February 2015,3.0,3.0,3.0,3.0,1.0,1.0,No,air-france,YYZ,MLA
Solo Leisure,Business Class,CDG to WAW,July 2015,4.0,5.0,5.0,1.0,5.0,5.0,Yes,air-france,CDG,WAW
Solo Leisure,Economy Class,YUL to CDG,October 2015,2.0,5.0,2.0,2.0,3.0,3.0,No,air-france,YUL,CDG
Business,Economy Class,WAW to YYZ via CDG,October 2015,4.0,3.0,4.0,3.0,4.0,4.0,Yes,air-france,WAW,YYZ
Couple Leisure,Economy Class,Basel to Managua via Paris,May 2015,2.0,1.0,3.0,4.0,1.0,3.0,No,air-france,Basel,Managua
Family Leisure,Economy Class,CDG to LHR,October 2015,5.0,5.0,5.0,1.0,5.0,4.0,Yes,air-france,CDG,LHR
Family Leisure,Economy Class,LAX to PPT,April 2015,3.0,3.0,3.0,3.0,3.0,3.0,Yes,air-france,LAX,PPT
Couple Leisure,Economy Class,London City to Dublin,November 2014,4.0,5.0,5.0,1.0,3.0,5.0,Yes,air-france,London City,Dublin
Business,Economy Class,Warsaw to Dakar via Paris,October 2015,2.0,2.0,3.0,3.0,3.0,3.0,Yes,air-france,Warsaw,Dakar
Family Leisure,Economy Class,Boston to Algiers via CDG,October 2015,5.0,4.0,5.0,4.0,3.0,3.0,Yes,air-france,Boston,Algiers
Solo Leisure,Business Class,ATH to LHR via CDG,October 2015,4.0,5.0,5.0,1.0,5.0,5.0,Yes,air-france,ATH,LHR
Solo Leisure,Economy Class,CPH to JFK via CDG,October 2015,1.0,3.0,2.0,2.0,2.0,2.0,No,air-france,CPH,JFK
Solo Leisure,Economy Class,ZRH to BSB via CDG,September 2015,3.0,3.0,3.0,4.0,5.0,5.0,Yes,air-france,ZRH,BSB
Couple Leisure,Business Class,CDG to CAN,October 2015,5.0,5.0,5.0,4.0,4.0,5.0,Yes,air-france,CDG,CAN
