Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Solo Leisure,Economy Class,Singapore to Helsinki,June 2022,5.0,3.0,1.0,2.0,4.0,1.0,No,finnair,Singapore,Helsinki
Solo Leisure,Economy Class,New York to London,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,New York,London
Family Leisure,Economy Class,Oslo to New Delhi via Helsinki,June 2022,3.0,3.0,1.0,2.0,3.0,2.0,No,finnair,Oslo,New Delhi
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,May 2022,4.0,5.0,3.0,3.0,4.0,5.0,Yes,finnair,Brussels,Bangkok
Couple Leisure,Business Class,London to Singapore via Helsinki,May 2022,4.0,4.0,4.0,3.0,1.0,2.0,No,finnair,London,Singapore
Solo Leisure,Business Class,Paris to Helsinki via Bangkok,June 2022,4.0,4.0,3.0,4.0,1.0,1.0,No,finnair,Paris,Helsinki
Solo Leisure,Economy Class,Miami to London,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Miami,London
Couple Leisure,Economy Class,Helsinki to Barcelona,May 2022,3.0,2.0,1.0,1.0,2.0,2.0,No,finnair,Helsinki,Barcelona
Solo Leisure,Economy Class,Berlin to Delhi via Helsinki,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Berlin,Delhi
Couple Leisure,Economy Class,Bangkok to London via Helsinki,April 2022,5.0,5.0,4.0,5.0,2.0,5.0,Yes,finnair,Bangkok,London
Solo Leisure,Business Class,Bangkok to Rome via Helsinki,April 2022,3.0,1.0,1.0,1.0,1.0,3.0,No,finnair,Bangkok,Rome
Solo Leisure,Economy Class,Copenhagen to Tokyo via Helsinki,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Copenhagen,Tokyo
Solo Leisure,Economy Class,Dusseldorf to Singapore via Helsinki,January 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Dusseldorf,Singapore
Couple Leisure,Business Class,London to Singapore via Helsinki,March 2022,3.0,4.0,2.0,1.0,1.0,3.0,No,finnair,London,Singapore
Solo Leisure,Business Class,Bangkok to Paris via Helsinki,February 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Bangkok,Paris
Solo Leisure,Economy Class,Tallinn to Delhi via Helsinki,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Tallinn,Delhi
Business,Economy Class,Zurich to Helsinki,November 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Zurich,Helsinki
Couple Leisure,Economy Class,Delhi to Berlin,February 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Delhi,Berlin
Business,Business Class,London to Bangkok via Helsinki,December 2021,3.0,3.0,2.0,3.0,3.0,3.0,No,finnair,London,Bangkok
Family Leisure,Economy Class,New York to Milan via Helsinki,December 2021,4.0,4.0,2.0,2.0,3.0,4.0,No,finnair,New York,Milan
Family Leisure,Economy Class,Barcelona to Los Angeles via Helsinki,December 2021,4.0,5.0,4.0,3.0,1.0,3.0,No,finnair,Barcelona,Los Angeles
Solo Leisure,Economy Class,New York to Vilnius via Helsinki,January 2022,5.0,5.0,2.0,5.0,5.0,4.0,Yes,finnair,New York,Vilnius
Solo Leisure,Economy Class,Helsinki Vantaa to London Healthrow,December 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki Vantaa,London Healthrow
Solo Leisure,Business Class,Bangkok to Brussels via Helsinki,December 2021,5.0,4.0,2.0,5.0,3.0,3.0,No,finnair,Bangkok,Brussels
Couple Leisure,Economy Class,Saint-Petersburg to Zurich via Helsinki,January 2022,1.0,4.0,1.0,1.0,1.0,1.0,No,finnair,Saint-Petersburg,Zurich
Couple Leisure,Business Class,London Heathrow to Bangkok via Helsinki,December 2021,3.0,3.0,3.0,3.0,2.0,1.0,No,finnair,London Heathrow,Bangkok
Couple Leisure,Economy Class,Bangkok to Helsinki,December 2021,3.0,3.0,3.0,3.0,3.0,3.0,Yes,finnair,Bangkok,Helsinki
Couple Leisure,Economy Class,Bangkok to Vilnius via Helsinki,December 2021,5.0,3.0,1.0,1.0,1.0,1.0,No,finnair,Bangkok,Vilnius
Solo Leisure,Economy Class,Chicago to Helsinki,December 2021,3.0,2.0,1.0,3.0,1.0,1.0,No,finnair,Chicago,Helsinki
Solo Leisure,Economy Class,Oslo to Los Angeles via Helsinki,December 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Oslo,Los Angeles
Business,Economy Class,Oulu to London via Helsinki,October 2021,1.0,2.0,1.0,1.0,1.0,1.0,No,finnair,Oulu,London
Solo Leisure,Economy Class,Helsinki to Los Angeles via Stockholm,November 2021,1.0,4.0,2.0,1.0,1.0,2.0,No,finnair,Helsinki,Los Angeles
Business,Economy Class,St Petersburg to Stockholm via Helsinki,November 2021,3.0,4.0,4.0,1.0,1.0,2.0,No,finnair,St Petersburg,Stockholm
Family Leisure,Economy Class,Lisbon to Helsinki via Vaasa,November 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Lisbon,Helsinki
Family Leisure,Economy Class,Helsinki to Berlin,November 2021,4.0,5.0,4.0,1.0,5.0,4.0,Yes,finnair,Helsinki,Berlin
Solo Leisure,Economy Class,Dublin to Bangkok via Helsinki,October 2021,1.0,1.0,1.0,1.0,1.0,2.0,No,finnair,Dublin,Bangkok
Business,Business Class,New York to Helsinki,September 2021,4.0,4.0,2.0,3.0,2.0,1.0,No,finnair,New York,Helsinki
Couple Leisure,Economy Class,Vienna to Helsinki,September 2021,2.0,3.0,1.0,1.0,1.0,1.0,No,finnair,Vienna,Helsinki
