Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Couple Leisure,Economy Class,Gdańsk to Nuremberg via Frankfurt,August 2020,3.0,1.0,1.0,,3.0,4.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Tbilisi to Mexico City via Munich / Frankfurt,August 2020,3.0,1.0,2.0,3.0,1.0,2.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Bodrum to Munich,August 2020,1.0,1.0,2.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Vienna to Chicago,March 2020,,,,,,2.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Helsinki to Munich,August 2020,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Denver to Hamburg,May 2020,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Hamburg to Chisinau via Frankfurt,April 2020,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Münich to Bremen,July 2020,1.0,1.0,1.0,,1.0,3.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Munich to Lyon ,July 2020,1.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Stockholm to Catania via Munich,July 2020,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Barcelona to Mexico City via Frankfurt,July 2020,5.0,1.0,1.0,3.0,3.0,4.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Prague to Bilbao via Frankfurt,June 2020,4.0,2.0,1.0,,2.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Winnipeg to Varna,May 2020,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Panama to Amsterdam via Frankfurt,September 2019,,,,,,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Delhi to Calgary,May 2020,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Brussels to Munich,July 2019,5.0,5.0,3.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Los Angeles to London ,May 2020,,,,,,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Seoul to Frankfurt,April 2020,,,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,London to Munich,March 2020,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Munich to London,March 2020,5.0,4.0,4.0,,5.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Toronto to Dubrovnik via Frankfurt,March 2020,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Malta to Frankfurt,March 2020,,,,,,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Toronto to Budapest via Frankfurt,August 2019,,,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Frankfurt to Vancouver,March 2020,5.0,5.0,5.0,5.0,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Frankfurt to Los Angeles,March 2020,3.0,4.0,1.0,4.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Milan to Amman via Frankfurt,April 2019,,,,,,1.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Munich to Singapore,February 2020,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Billund to Frankfurt,March 2020,4.0,3.0,3.0,,2.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Business Class,Frankfurt to Toronto,March 2020,4.0,5.0,4.0,3.0,2.0,4.0,Recommendedyes,lufthansa
Business,Business Class,Frankfurt to Moscow,March 2020,3.0,4.0,4.0,1.0,4.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,New York to Frankfurt,March 2020,,,,,,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Bilbao to Singapore via Frankfurt,February 2020,2.0,4.0,2.0,4.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Vienna to Frankfurt,March 2020,,,,,,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Miami to Frankfurt,February 2020,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Venice to Frankfurt,November 2019,,,,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Cape Town,January 2019,4.0,3.0,4.0,4.0,3.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Seoul to Frankfurt,February 2020,2.0,3.0,1.0,,4.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Singapore to Frankfurt,February 2020,3.0,1.0,1.0,1.0,2.0,2.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Paris to Frankfurt via Chennai,February 2020,3.0,5.0,4.0,3.0,4.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Munich to Dublin,February 2020,5.0,5.0,4.0,,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Frankfurt to Madrid,January 2020,1.0,1.0,4.0,3.0,1.0,1.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Addis Ababa to Los Angeles via Frankfurt,January 2020,3.0,2.0,3.0,1.0,4.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Houston to Frankfurt,January 2020,3.0,3.0,3.0,2.0,4.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Istanbul to Manchester via Frankfurt,January 2020,1.0,2.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Frankfurt to Hong Kong,January 2020,1.0,3.0,1.0,1.0,3.0,2.0,Recommendedno,lufthansa
Solo Leisure,Premium Economy,Chicago to Belgrade via Munich,January 2020,2.0,4.0,4.0,2.0,4.0,3.0,Recommendedno,lufthansa
Solo Leisure,First Class,Munich to Bogota via Frankfurt,December 2019,1.0,5.0,5.0,4.0,5.0,1.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Bari to Toronto via Frankfurt,January 2020,4.0,5.0,5.0,4.0,1.0,4.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Delhi to Toronto via Frankfurt,January 2020,4.0,5.0,5.0,5.0,5.0,4.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Denver to Frankfurt,January 2020,,,,,3.0,3.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Helsinki to Manchester via Munich,January 2020,4.0,5.0,3.0,,5.0,3.0,Recommendedyes,lufthansa
Family Leisure,Business Class,Frankfurt to Hong Kong,January 2020,4.0,2.0,3.0,3.0,3.0,3.0,Recommendedno,lufthansa
Business,Business Class,Munich to Stockholm,January 2020,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Munich to Beijing,January 2020,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,London to Chennai via Frankfurt,December 2019,5.0,4.0,4.0,4.0,5.0,4.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Munich to Sao Paulo via Frankfurt,December 2019,5.0,5.0,5.0,5.0,5.0,3.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Gdansk to Munich,December 2019,3.0,4.0,3.0,,3.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,London to Malta via London,September 2019,2.0,3.0,2.0,,2.0,2.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Paris to Frankfurt,December 2019,3.0,4.0,3.0,,2.0,3.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Munich to Gdansk,December 2019,3.0,4.0,3.0,,3.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Helsinki to Munich via Barcelona,December 2019,4.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Milan to Billund via Frankfurt,December 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Gdansk to Tel Aviv via Munich,December 2019,4.0,4.0,3.0,,3.0,2.0,Recommendedyes,lufthansa
Solo Leisure,Premium Economy,San Francisco to Paris via Frankfurt,December 2019,,,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Dallas to Lagos via Frankfurt,December 2019,,,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Marseille to Rio de Janeiro via Frankfurt,December 2019,2.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,lufthansa
Business,Business Class,New York to Cairo via Frankfurt,December 2019,1.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Premium Economy,Stockholm to New York (JFK) via Munich,December 2019,4.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Helsinki to Bucharest via Munich,December 2019,4.0,5.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Los Angeles to Franfurt,November 2019,5.0,5.0,2.0,4.0,5.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Munich to Los Angeles,December 2019,4.0,4.0,3.0,5.0,4.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Rome to Frankfurt,December 2019,2.0,2.0,1.0,,1.0,2.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Copenhagen to Singapore via Munich,December 2019,5.0,1.0,1.0,4.0,4.0,3.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Moscow to Belgrade via Munich,June 2019,5.0,4.0,4.0,3.0,3.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,London to Frankfurt,November 2019,4.0,5.0,4.0,,4.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Frankfurt to Warsaw,November 2019,3.0,4.0,4.0,,4.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Orlando to Amsterdam via Frankfurt,November 2019,1.0,2.0,2.0,3.0,2.0,4.0,Recommendedno,lufthansa
Business,Business Class,Boston to Berlin  via Munich,October 2018,,,,,,1.0,Recommendedno,lufthansa
Business,Business Class,Amsterdam to Malabo via Frankfurt,November 2019,2.0,3.0,,,3.0,1.0,Recommendedno,lufthansa
Business,Business Class,Denver to Frankfurt,November 2019,1.0,1.0,1.0,3.0,3.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Munich to Moscow,November 2019,1.0,2.0,1.0,,3.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Newark to Copenhagen via Frankfurt,November 2019,4.0,3.0,5.0,3.0,5.0,5.0,Recommendedyes,lufthansa
Business,Premium Economy,Tokyo Haneda to Munich,November 2019,2.0,5.0,2.0,4.0,4.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Brussels to Kiev via Munich,November 2019,4.0,4.0,4.0,2.0,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Paris CDG to Leipzig via Frankfurt,November 2019,2.0,3.0,2.0,,1.0,3.0,Recommendedno,lufthansa
Business,Business Class,Frankfurt to Qingdao,November 2019,4.0,5.0,4.0,5.0,4.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Munich to Montreal,November 2019,1.0,5.0,4.0,5.0,5.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Belgrade to Frankfurt,November 2019,3.0,2.0,3.0,3.0,3.0,3.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Dublin to Munich,November 2019,3.0,5.0,4.0,,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Manchester to Kiev via Frankfurt,October 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,First Class,Chicago to London via Munich,October 2019,5.0,5.0,5.0,3.0,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Frankfurt to Milan,October 2019,1.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Norfolk to Munich via Washington,October 2019,2.0,3.0,1.0,4.0,3.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Munich to Beijing,October 2019,2.0,2.0,1.0,4.0,3.0,2.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Munich to Toronto,October 2019,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Frankfurt to London,September 2019,1.0,4.0,3.0,,4.0,5.0,Recommendedyes,lufthansa
Business,Business Class,Frankfurt to London,October 2019,3.0,3.0,3.0,,4.0,3.0,Recommendedyes,lufthansa
Business,Premium Economy,Frankfurt to Bahrain,September 2019,5.0,3.0,3.0,2.0,4.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,London to Frankfurt,September 2019,4.0,3.0,3.0,,5.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Manchester to Dallas via Frankfurt,October 2019,2.0,3.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Amman,October 2019,4.0,5.0,4.0,,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Krakow to Lisbon via Munich,October 2019,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Vancouver to Glasgow via Frankfurt,October 2019,1.0,1.0,2.0,1.0,1.0,3.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Amsterdam to Munich,October 2019,2.0,3.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Berlin to Tivat via Frankfurt,October 2019,3.0,4.0,3.0,,3.0,3.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Frankfurt to Athens,October 2019,4.0,5.0,2.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Barcelona to Gdansk via Frankfurt,October 2019,3.0,4.0,4.0,,2.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Frankfurt to Dublin,October 2019,4.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,London to Venice via Frankfurt,October 2019,2.0,5.0,4.0,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Delhi to Frankfurt,May 2019,2.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Frankfurt to New York,September 2019,5.0,2.0,1.0,3.0,4.0,2.0,Recommendedno,lufthansa
Couple Leisure,Business Class,New York to Munich,September 2019,3.0,3.0,1.0,2.0,4.0,2.0,Recommendedno,lufthansa
Couple Leisure,First Class,Charlotte to Munich,October 2019,2.0,4.0,3.0,3.0,4.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Munich to Vancouver,August 2019,4.0,4.0,4.0,4.0,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Business Class,Los Angeles to Munich,September 2019,4.0,2.0,1.0,4.0,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Naples to Frankfurt,September 2019,3.0,3.0,3.0,2.0,2.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Munich to New York,November 2018,1.0,2.0,4.0,4.0,5.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to Los Angeles ,September 2019,3.0,2.0,2.0,1.0,1.0,3.0,Recommendedno,lufthansa
Couple Leisure,First Class,Nairobi to Zurich via Frankfurt,September 2019,3.0,4.0,2.0,,4.0,4.0,Recommendedyes,lufthansa
Business,Business Class,Munich to Montreal,September 2019,2.0,3.0,3.0,3.0,4.0,2.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Tunis to Columbus via Frankfurt ,September 2019,3.0,1.0,,,3.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Gothenburg to Hong Kong via Munich,June 2019,3.0,3.0,3.0,2.0,3.0,3.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Budapest to Miami via Frankfurt,July 2019,1.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Munich to New York,November 2018,1.0,1.0,4.0,4.0,4.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Singapore to Panama via Frankfurt,September 2019,3.0,3.0,2.0,2.0,2.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Berlin to Frankfurt,September 2019,1.0,3.0,3.0,,3.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Marseilles to Vienna via Frankfurt,July 2019,1.0,5.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Toronto to Delhi via Frankfurt,August 2019,4.0,1.0,2.0,5.0,4.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Nairobi to London via Frankfurt,September 2019,3.0,2.0,1.0,3.0,3.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Business Class,London to Nairobi via Frankfurt,September 2019,3.0,3.0,4.0,4.0,4.0,4.0,Recommendedyes,lufthansa
Business,Business Class,London to Madrid via Frankfurt,September 2019,3.0,3.0,1.0,1.0,2.0,1.0,Recommendedno,lufthansa
Business,Business Class,Rome to Brussels via Frankfurt,September 2019,3.0,4.0,3.0,,4.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Business Class,Helsinki to Split via Frankfurt,September 2019,2.0,3.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Brussels to Rome Fiumicino via Munich,August 2019,3.0,4.0,4.0,,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Stuttgart to Frankfurt,August 2019,2.0,1.0,,,4.0,2.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Frankfurt to Amsterdam,August 2019,4.0,2.0,1.0,,4.0,2.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Marseille to Hong Kong via Munich,August 2019,,,,,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Frankfurt to Split,September 2019,4.0,2.0,4.0,1.0,1.0,3.0,Recommendedno,lufthansa
Business,Business Class,Helsinki to Frankfurt,September 2019,4.0,5.0,1.0,1.0,3.0,2.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Frankfurt to Marseille,August 2019,2.0,3.0,3.0,,2.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Cape Town to Frankfurt,February 2019,4.0,3.0,3.0,5.0,2.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,Frankfurt to México,September 2019,3.0,4.0,4.0,4.0,3.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Business Class,Washington to Frankfurt,August 2019,3.0,4.0,5.0,3.0,3.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Krakow to Amsterdam,August 2019,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Bogota to Frankfurt,August 2019,3.0,1.0,1.0,4.0,3.0,2.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Manchester to Barcelona via Frankfurt,August 2019,5.0,5.0,4.0,,4.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Rome to Manchester via Frankfurt,August 2019,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Budapest to Frankfurt,August 2019,4.0,5.0,3.0,,5.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Dublin to Krakow via Frankfurt,August 2019,3.0,3.0,1.0,,3.0,3.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Frankfurt to Malpensa,August 2019,4.0,5.0,3.0,,4.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,Krakow to Palma via Munich,August 2019,,,,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Los Angeles to Rome via Frankfurt,July 2019,3.0,2.0,3.0,3.0,1.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Munich to Valencia,August 2019,2.0,4.0,1.0,,3.0,1.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Casablanca to Frankfurt ,August 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Frankfurt to Malta,January 2019,1.0,4.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,London Heathrow to Porto via Frankfurt,August 2019,4.0,3.0,1.0,,4.0,1.0,Recommendedno,lufthansa
Business,Business Class,Rio de Janeiro to Frankfurt,July 2019,4.0,5.0,4.0,,4.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Budapest to Amsterdam via Frankfurt,August 2019,4.0,3.0,2.0,1.0,4.0,3.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Boston to Frankfurt,August 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Lisbon to Frankfurt,August 2019,2.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,New York to Vienna via Frankfurt,August 2019,4.0,5.0,5.0,5.0,1.0,3.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Bologna to Frankfurt,August 2019,2.0,3.0,1.0,,5.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Amsterdam to Budapest via Frankfurt,July 2019,4.0,4.0,2.0,1.0,3.0,3.0,Recommendedyes,lufthansa
Business,Economy Class,Vancouver to Frankfurt,April 2019,4.0,4.0,2.0,3.0,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Izmir to Hamburg via Munich,July 2019,3.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Frankfurt to Lisbon,July 2019,4.0,2.0,3.0,3.0,2.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Copenhagen to Madrid,July 2019,,,,,,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to San Diego,July 2019,1.0,1.0,1.0,5.0,4.0,3.0,Recommendedno,lufthansa
Solo Leisure,Business Class,London  to St Petersburg via Munich,July 2019,,,,,,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Copenhagen to Los Angeles via Frankfurt,July 2019,1.0,2.0,1.0,1.0,2.0,2.0,Recommendedno,lufthansa
Business,Economy Class,London to Frankfurt,May 2019,5.0,5.0,2.0,,5.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Istanbul to Poznan via Munich,July 2019,5.0,2.0,4.0,5.0,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Bilbao to Munich via Zagreb,July 2019,3.0,3.0,2.0,,2.0,2.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Manchester to Amman via Frankfurt,July 2019,3.0,3.0,2.0,1.0,4.0,4.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Naples to Newark via Munich,July 2019,2.0,4.0,2.0,3.0,2.0,2.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Newark to Florence via Munich,July 2019,2.0,2.0,3.0,4.0,3.0,3.0,Recommendedno,lufthansa
Family Leisure,Premium Economy,New Delhi to Frankfurt,August 2018,5.0,5.0,5.0,5.0,5.0,4.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Vienna to Manchester via Frankfurt,July 2019,3.0,2.0,1.0,1.0,2.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Manchester to Bucharest via Frankfurt,July 2019,4.0,5.0,1.0,,4.0,4.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Poznan to Frankfurt,July 2019,5.0,5.0,5.0,,4.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Frankfurt to Sevilla,July 2019,5.0,5.0,2.0,2.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Geneva to Tirana via Frankfurt,July 2019,1.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,London to Dubai via Frankfurt ,July 2019,2.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Krakow to Munich,July 2019,2.0,4.0,1.0,,1.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Gdansk,July 2019,,,,,,1.0,Recommendedno,lufthansa
Couple Leisure,Premium Economy,Copenhagen to Bilbao,July 2019,3.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Sofia,July 2019,5.0,2.0,1.0,,4.0,4.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Frankfurt to Sao Paulo,June 2019,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Frankfurt to Hanover ,July 2019,3.0,5.0,4.0,,4.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Business Class,Warsaw to Frankfurt,July 2019,2.0,1.0,1.0,,2.0,1.0,Recommendedno,lufthansa
Business,Business Class,Barcelona to Frankfurt,June 2019,4.0,5.0,3.0,,4.0,4.0,Recommendedyes,lufthansa
Business,Business Class,Hamburg to Izmir via Munich,July 2019,3.0,3.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Orlando to Rome via Frankfurt,July 2019,3.0,1.0,2.0,4.0,3.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Cape Town to Vancouver via Frankfurt,July 2019,2.0,4.0,4.0,3.0,2.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Frankfurt to Zagreb,July 2019,2.0,2.0,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Tampa to Kiev via Frankfurt,June 2019,,,,,,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Paris to Frankfurt,June 2019,4.0,4.0,,,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Gdansk to Marseille via Munich,July 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Frankfurt to Boston,June 2019,1.0,5.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Premium Economy,Orlando to Frankfurt,June 2019,4.0,1.0,3.0,5.0,4.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Billund to Heathrow via Frankfurt,June 2019,3.0,3.0,2.0,,1.0,4.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Lisbon to Sofia via Frankfurt,June 2019,3.0,3.0,,,1.0,3.0,Recommendedno,lufthansa
Business,Economy Class,Frankfurt to Washington,June 2019,,,,,3.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Larnaca to Munich,June 2019,4.0,1.0,1.0,,1.0,3.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Washington to Frankfurt,April 2019,4.0,5.0,4.0,5.0,5.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,Dublin to Montreal via Frankfurt ,June 2019,,,,,,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Munich to Lisbon,June 2019,5.0,5.0,4.0,,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Premium Economy,Montreal to Munich,June 2019,5.0,5.0,4.0,3.0,3.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,London to Frankfurt,June 2019,3.0,4.0,3.0,,1.0,2.0,Recommendedno,lufthansa
Business,Business Class,Los Angeles to Munich,June 2019,2.0,1.0,1.0,,4.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Frankfurt to Stuttgart,June 2019,,,,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Dubai to Frankfurt,June 2019,5.0,5.0,4.0,4.0,5.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Business Class,London to Frankfurt,June 2019,2.0,4.0,3.0,1.0,4.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,London to Minsk via Frankfurt,June 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
