Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Solo Leisure,Economy Class,Dusseldorf to Singapore via Helsinki,January 2022,,,,,,1.0,Recommendedno,finnair
Couple Leisure,Business Class,London to Singapore via Helsinki,March 2022,3.0,4.0,2.0,1.0,1.0,3.0,Recommendedno,finnair
Solo Leisure,Business Class,Bangkok to Paris via Helsinki,February 2022,,,,,,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Tallinn to Delhi via Helsinki,March 2022,,,,,,1.0,Recommendedno,finnair
Business,Economy Class,Zurich to Helsinki,November 2021,1.0,1.0,1.0,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Delhi to Berlin,February 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Business Class,London to Bangkok via Helsinki,December 2021,3.0,3.0,2.0,3.0,3.0,3.0,Recommendedno,finnair
Family Leisure,Economy Class,New York to Milan via Helsinki,December 2021,4.0,4.0,2.0,2.0,3.0,4.0,Recommendedno,finnair
Family Leisure,Economy Class,Barcelona to Los Angeles via Helsinki,December 2021,4.0,5.0,4.0,3.0,1.0,3.0,Recommendedno,finnair
Solo Leisure,Economy Class,New York to Vilnius via Helsinki,January 2022,5.0,5.0,2.0,5.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Helsinki Vantaa to London Healthrow,December 2021,,,,,,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Bangkok to Brussels via Helsinki,December 2021,5.0,4.0,2.0,5.0,3.0,3.0,Recommendedno,finnair
Couple Leisure,Economy Class,Saint-Petersburg to Zurich via Helsinki,January 2022,1.0,4.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Business Class,London Heathrow to Bangkok via Helsinki,December 2021,3.0,3.0,3.0,3.0,2.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Bangkok to Helsinki,December 2021,3.0,3.0,3.0,3.0,3.0,3.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Bangkok to Vilnius via Helsinki,December 2021,5.0,3.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Chicago to Helsinki,December 2021,3.0,2.0,1.0,3.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Oslo to Los Angeles via Helsinki,December 2021,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Economy Class,Oulu to London via Helsinki,October 2021,1.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Los Angeles via Stockholm,November 2021,1.0,4.0,2.0,1.0,1.0,2.0,Recommendedno,finnair
Business,Economy Class,St Petersburg to Stockholm via Helsinki,November 2021,3.0,4.0,4.0,,1.0,2.0,Recommendedno,finnair
Family Leisure,Economy Class,Lisbon to Helsinki via Vaasa,November 2021,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to Berlin,November 2021,4.0,5.0,4.0,,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Dublin to Bangkok via Helsinki,October 2021,,,,,1.0,2.0,Recommendedno,finnair
